선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1508,메인기록,2023,삼성,101,272,245,77,2,40,28,14,35,20,0.354,0.314,0.356,0.404,0.760,0.348,1.40,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2020,삼성,9,9,7,2,0,1,0,1,1,0,0.333,0.286,0.444,0.429,0.873,0.414,0.09,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2024,삼성,32,89,74,18,0,15,6,9,16,3,0.300,0.243,0.326,0.297,0.623,0.294,-0.17,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2022,삼성,48,49,42,8,1,14,2,5,10,10,0.226,0.190,0.292,0.333,0.625,0.292,0.06,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2021,삼성,30,19,18,3,0,7,2,0,5,0,0.214,0.167,0.158,0.167,0.325,0.145,-0.36,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2017,삼성,22,14,12,1,1,3,2,2,7,0,0.000,0.083,0.214,0.333,0.547,0.232,-0.13,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2018,삼성,1,2,2,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.07,,,,,,,,,,,,,,,,,,,,
1508,기본기록,2023,삼성,101,272,245,77,2,40,28,14,35,20,,0.314,,,,,,65,4,6,0,4,4,8,2,4,,,,,,,,,,,
1508,기본기록,2020,삼성,9,9,7,2,0,1,0,1,1,0,,0.286,,,,,,1,1,0,0,1,0,0,0,0,,,,,,,,,,,
1508,기본기록,2024,삼성,32,89,74,18,0,15,6,9,16,3,,0.243,,,,,,14,4,0,0,1,2,5,1,1,,,,,,,,,,,
1508,기본기록,2022,삼성,48,49,42,8,1,14,2,5,10,10,,0.190,,,,,,4,3,0,0,1,0,1,0,2,,,,,,,,,,,
1508,기본기록,2021,삼성,30,19,18,3,0,7,2,0,5,0,,0.167,,,,,,3,0,0,0,0,1,1,0,1,,,,,,,,,,,
1508,기본기록,2017,삼성,22,14,12,1,1,3,2,2,7,0,,0.083,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1508,기본기록,2018,삼성,1,2,2,0,0,0,0,0,1,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1508,세부기록,2023,삼성,,272,,,,,,,,,0.354,0.314,,,0.760,0.348,1.40,,,,,,,,,,5.2,12.9,0.40,0.090,122.50,38.94,5.78,36.19,9.34,2.04,4.16
1508,세부기록,2020,삼성,,9,,,,,,,,,0.333,0.286,,,0.873,0.414,0.09,,,,,,,,,,11.1,11.1,1.00,0.143,-,1.56,8.42,1.80,4.31,0.02,0.62
1508,세부기록,2024,삼성,,89,,,,,,,,,0.300,0.243,,,0.623,0.294,-0.17,,,,,,,,,,10.1,18.0,0.56,0.054,-,8.51,3.65,7.71,5.64,-0.03,-4.32
1508,세부기록,2022,삼성,,49,,,,,,,,,0.226,0.190,,,0.625,0.292,0.06,,,,,,,,,,10.2,20.4,0.50,0.143,42.00,5.21,3.80,4.24,11.88,0.57,-1.47
1508,세부기록,2021,삼성,,19,,,,,,,,,0.214,0.167,,,0.325,0.145,-0.36,,,,,,,,,,0.0,26.3,0.00,0.000,-,0.40,0.64,-1.01,14.92,-0.46,-3.35
1508,세부기록,2017,삼성,,14,,,,,,,,,0.000,0.083,,,0.547,0.232,-0.13,,,,,,,,,,14.3,50.0,0.29,0.250,12.00,0.97,2.38,0.38,6.81,0.01,-1.51
1508,세부기록,2018,삼성,,2,,,,,,,,,0.000,0.000,,,0.000,0.000,-0.07,,,,,,,,,,0.0,50.0,0.00,0.000,-,0.00,0.00,-0.40,-,0.00,-0.68
